"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1245","test_scroll_up_using_arrow_button[webkit]","tests.scroll","Mon Dec 15 11:13:56 UTC 2025","passed","Mon Dec 15 11:13:57 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","2361","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Mon Dec 15 11:13:35 UTC 2025","passed","Mon Dec 15 11:13:38 UTC 2025","","test_test_cases_page","",""
"","2892","test_subscription[webkit]","tests.footer","Mon Dec 15 11:13:35 UTC 2025","passed","Mon Dec 15 11:13:38 UTC 2025","","test_subscription","",""
"","1828","test_subscription[chromium1]","tests.footer","Mon Dec 15 11:13:19 UTC 2025","passed","Mon Dec 15 11:13:21 UTC 2025","","test_subscription","",""
"","2974","test_login_with_invalid_credentials[webkit]","tests.login","Mon Dec 15 11:13:39 UTC 2025","passed","Mon Dec 15 11:13:41 UTC 2025","","test_login_with_invalid_credentials","",""
"","8533","test_adding_products_in_cart[chromium1]","tests.cart","Mon Dec 15 11:13:14 UTC 2025","passed","Mon Dec 15 11:13:23 UTC 2025","","test_adding_products_in_cart","",""
"","3288","test_logout[webkit]","tests.login","Mon Dec 15 11:13:53 UTC 2025","passed","Mon Dec 15 11:13:56 UTC 2025","","test_logout","",""
"","3523","test_login_with_valid_credentials[webkit]","tests.login","Mon Dec 15 11:13:47 UTC 2025","passed","Mon Dec 15 11:13:50 UTC 2025","","test_login_with_valid_credentials","",""
"","2543","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Mon Dec 15 11:13:37 UTC 2025","passed","Mon Dec 15 11:13:40 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","13423","test_adding_products_in_cart[webkit]","tests.cart","Mon Dec 15 11:13:34 UTC 2025","passed","Mon Dec 15 11:13:48 UTC 2025","","test_adding_products_in_cart","",""
"","1742","test_valid_redirect_to_test_cases_page[webkit]","tests.test_cases","Mon Dec 15 11:13:54 UTC 2025","passed","Mon Dec 15 11:13:56 UTC 2025","","test_test_cases_page","",""
"","2103","test_registration[chromium1]","tests.registration","Mon Dec 15 11:13:33 UTC 2025","passed","Mon Dec 15 11:13:35 UTC 2025","","test_registration_with_existing_email","",""
"","3575","test_valid_contact_us_form_submitting[chromium]","tests.contact_us_form","Mon Dec 15 11:13:22 UTC 2025","passed","Mon Dec 15 11:13:26 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","6095","test_logout[chromium1]","tests.login","Mon Dec 15 11:13:26 UTC 2025","passed","Mon Dec 15 11:13:32 UTC 2025","","test_logout","",""
"","6195","test_valid_contact_us_form_submitting[webkit]","tests.contact_us_form","Mon Dec 15 11:13:36 UTC 2025","passed","Mon Dec 15 11:13:42 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","2819","test_registration[webkit]","tests.registration","Mon Dec 15 11:13:46 UTC 2025","passed","Mon Dec 15 11:13:49 UTC 2025","","test_registration_with_existing_email","",""
"","7461","test_registration[chromium1]","tests.registration","Mon Dec 15 11:13:30 UTC 2025","passed","Mon Dec 15 11:13:37 UTC 2025","","test_register_user","",""
"","2411","test_login_with_invalid_credentials[chromium1]","tests.login","Mon Dec 15 11:13:28 UTC 2025","passed","Mon Dec 15 11:13:30 UTC 2025","","test_login_with_invalid_credentials","",""
"","4560","test_login_with_valid_credentials[chromium1]","tests.login","Mon Dec 15 11:13:23 UTC 2025","passed","Mon Dec 15 11:13:28 UTC 2025","","test_login_with_valid_credentials","",""
"","7628","test_registration[webkit]","tests.registration","Mon Dec 15 11:13:43 UTC 2025","passed","Mon Dec 15 11:13:51 UTC 2025","","test_register_user","",""
